X,Y,id,initialdate,finaldate,area_ha,iso2,iso3,country,admlvl1,admlvl2,admlvl3,admlvl5,map_source,broadleaved_forest_percent,coniferous_forest_percent,mixed_forest_percent,sclerophillous_vegetation_percent,transitional_vegetation_percent,other_natural_percent,agriculture_percent,artificial_percent,other_percent,natura2k_percent,noneu,updated,area_code,eu_area
,,"7226",2013/05/03 00:00:00,2013/05/03 00:00:00+00,"133",DE,DEU,Deutschland,Niedersachsen,Lüneburg,Celle,"Lohheide, gemfr. Bezirk",modis,0,0,3.81679389312686,0,0,96.1832061067968,0,0,0,100,"0",2022/01/26 11:57:54.973,EU,EU
,,"238",2015/06/11 00:00:00,2015/06/11 00:00:00+00,"62",DE,DEU,Deutschland,Sachsen-Anhalt,Sachsen-Anhalt,Altmarkkreis Salzwedel,"Gardelegen, Hansestadt",modis,0,0,0,0,0,99.9999999998361,0,0,0,100,"0",2022/01/26 11:57:54.973,EU,EU
,,"9293",2015/07/05 00:00:00,2015/07/07 00:00:00+00,"43",DE,DEU,Deutschland,Brandenburg,Brandenburg,Teltow-Fläming,"Jüterbog, Stadt",modis,0,8.88888888886914,0,0,0,91.1111111109086,0,0,0,100,"0",2022/01/26 11:57:54.973,EU,EU
,,"719",2016/08/17 00:00:00,2016/08/19 00:00:00+00,"131",DE,DEU,Deutschland,Sachsen-Anhalt,Sachsen-Anhalt,Jerichower Land,"Möckern, Stadt",modis,0,0,0,0,0,99.9999999999231,0,0,0,100,"0",2022/01/26 11:57:54.973,EU,EU
,,"8311",2016/09/22 00:00:00,2016/09/23 00:00:00+00,"77",DE,DEU,Deutschland,Brandenburg,Brandenburg,Ostprignitz-Ruppin,"Wittstock/Dosse, Stadt",modis,0,0,0,0,9.9999999999875,89.9999999998875,0,0,0,100,"0",2022/01/26 11:57:54.973,EU,EU
,,"687",2016/04/21 00:00:00,2016/04/21 00:00:00+00,"106",DE,DEU,Deutschland,Sachsen-Anhalt,Sachsen-Anhalt,Jerichower Land,"Möckern, Stadt",modis,0,1.83486238531942,0,0,0,98.1651376145888,0,0,0,100,"0",2022/01/26 11:57:54.973,EU,EU
,,"10244",2017/03/27 00:00:00,2017/03/27 00:00:00+00,"57",DE,DEU,Deutschland,Brandenburg,Brandenburg,Ostprignitz-Ruppin,"Wittstock/Dosse, Stadt",modis,0,1.69491525423442,0,0,18.6440677965786,79.6610169490175,0,0,0,100,"0",2022/01/26 11:57:54.973,EU,EU
,,"13988",2018/04/19 00:00:00,2018/04/19 00:00:00+00,"31",DE,DEU,Deutschland,Niedersachsen,Lüneburg,Heidekreis,Wietzendorf,modis,0,0,0,0,0,99.9999999996552,0,0,0,100,"0",2022/01/26 12:15:03.089,EU,EU
,,"14023",2018/02/23 00:00:00,2018/02/23 00:00:00+00,"38",DE,DEU,Deutschland,Bayern,Oberpfalz,Neustadt a. d. Waldnaab,"Grafenwöhr, St",modis,0,0,11.1111111110802,0,0,88.888888888642,0,0,0,100,"0",2022/01/26 12:15:03.089,EU,EU
,,"14167",2018/07/03 00:00:00,2018/07/04 00:00:00+00,"43",DE,DEU,Deutschland,Sachsen-Anhalt,Sachsen-Anhalt,Wittenberg,"Coswig (Anhalt), Stadt",modis,0,93.3333333331259,0,0,0,0,6.66666666665185,0,0,0,"0",2022/01/26 12:15:03.089,EU,EU
,,"14180",2018/03/19 00:00:00,2018/03/19 00:00:00+00,"32",DE,DEU,Deutschland,Niedersachsen,Lüneburg,Celle,"Lohheide, gemfr. Bezirk",modis,6.24999999998047,0,3.12499999999023,0,0,90.6249999997168,0,0,0,99.9999999999999,"0",2022/01/26 12:15:03.089,EU,EU
,,"14189",2018/03/19 00:00:00,2018/03/19 00:00:00+00,"44",DE,DEU,Deutschland,Niedersachsen,Lüneburg,Celle,"Lohheide, gemfr. Bezirk",modis,0,8.69565217389414,0,0,0,91.3043478258885,0,0,0,89.2331465253515,"0",2022/01/26 12:15:03.089,EU,EU
